SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
331,MP,Madhya Pradesh,MP_Dewas,Dewas,1909,52,1834,23,0,0,0,0,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,2813,74,2690,49,0,0,0,0,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,749,50,698,1,0,0,0,0,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,945,65,865,15,0,0,0,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,12486,332,11988,166,0,0,0,0,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,1488,86,1378,24,0,0,0,0,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,2943,59,2834,50,0,0,0,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,34308,2094,31531,683,0,0,0,0,0,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,12910,585,12118,207,0,0,0,0,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,1733,82,1633,18,0,0,0,0,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,1769,26,1728,15,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,1821,27,1746,48,0,0,0,0,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,3918,84,3767,67,0,0,0,0,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,1021,22,990,9,0,0,0,0,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,2043,38,1982,23,0,0,0,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,2846,94,2729,23,0,0,0,0,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,3047,34,2986,27,0,0,0,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,2400,56,2309,35,0,0,0,0,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,444,24,419,1,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,821,16,802,3,0,0,0,0,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,1810,105,1672,33,0,0,0,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,1708,97,1562,49,0,0,0,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,2542,146,2337,59,0,0,0,0,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,2606,187,2389,30,0,0,0,0,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,3540,191,3225,124,0,0,0,0,0,,
355,MP,Madhya Pradesh,MP_Satna,Satna,2324,66,2221,37,0,0,0,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,2128,52,2028,48,0,0,0,0,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,1262,29,1225,8,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,2606,61,2517,28,0,0,0,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,1282,75,1186,21,0,0,0,0,0,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,1080,48,1022,10,0,0,0,0,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,2826,98,2704,24,0,0,0,0,0,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,1446,143,1293,10,0,0,0,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,1397,89,1283,25,0,0,0,0,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,995,27,942,26,0,0,0,0,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,3576,115,3364,97,0,0,0,0,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,961,53,896,12,0,0,0,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,2174,101,2024,49,0,0,0,0,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,2049,425,1622,2,0,62,25,36,1,,
433,MZ,Mizoram,MZ_Champhai,Champhai,58,32,26,0,0,1,1,0,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,13,0,13,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,7,1,6,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,253,2,251,0,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,101,13,88,0,0,1,1,0,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,283,5,278,0,0,1,1,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,59,2,57,0,0,0,-2,2,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,32,0,32,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,16,2,14,0,0,0,0,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,87,1,86,0,0,0,0,0,0,,
0,NL,Nagaland,NL_Others,Others,0,0,0,0,0,0,0,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,5143,747,4313,32,51,0,0,0,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,23,5,18,0,0,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,2744,295,2430,8,11,0,0,0,0,,
443,NL,Nagaland,NL_Longleng,Longleng,18,0,9,0,9,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,114,14,97,1,2,0,0,0,0,,
445,NL,Nagaland,NL_Mon,Mon,500,52,437,2,9,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,307,7,300,0,0,0,0,0,0,,
447,NL,Nagaland,NL_Phek,Phek,37,1,36,0,0,0,0,0,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,154,13,141,0,0,0,0,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,29,2,26,1,0,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,138,8,127,0,3,0,0,0,0,,
0,OR,Odisha,OR_State Pool,State Pool,7624,277,7347,0,0,31,0,31,0,,
0,OR,Odisha,OR_Others,Others,0,0,0,0,0,0,0,0,0,,
451,OR,Odisha,OR_Angul,Angul,8448,564,7861,23,0,88,4,84,0,,
452,OR,Odisha,OR_Balangir,Balangir,7090,517,6543,30,0,77,10,67,0,,
453,OR,Odisha,OR_Balasore,Balasore,10545,480,9991,74,0,36,-74,110,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,8980,515,8446,19,0,55,23,32,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,6857,201,6632,24,0,31,17,14,0,,
455,OR,Odisha,OR_Boudh,Boudh,2614,107,2498,9,0,4,-11,15,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,26412,959,25334,119,0,109,0,107,2,,
458,OR,Odisha,OR_Deogarh,Deogarh,1091,57,1032,2,0,8,-3,11,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,5240,273,4947,20,0,33,-8,41,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,3874,26,3818,30,0,3,-7,10,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,21316,136,20941,239,0,23,-4,26,1,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,7862,635,7204,23,0,50,-43,93,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,11031,355,10655,21,0,23,-6,29,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,6538,138,6384,16,0,29,-4,33,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,5367,422,4924,21,0,50,10,40,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,5725,98,5596,31,0,11,-8,19,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,7862,538,7303,21,0,42,-8,50,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,6599,350,6224,25,0,57,-33,90,0,,
469,OR,Odisha,OR_Khordha,Khordha,49445,1431,47765,249,0,159,-13,169,3,,
470,OR,Odisha,OR_Koraput,Koraput,7499,320,7166,13,0,28,6,22,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,4983,286,4674,23,0,23,12,11,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,11736,789,10881,66,0,103,40,60,3,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,5403,254,5134,15,0,21,-8,28,1,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,6111,252,5819,40,0,32,-4,35,1,,
475,OR,Odisha,OR_Nuapada,Nuapada,5949,477,5454,18,0,88,28,60,0,,
476,OR,Odisha,OR_Puri,Puri,12794,501,12205,88,0,35,3,32,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,8140,102,7996,42,0,10,2,8,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,8143,286,7822,35,0,30,6,23,1,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,4506,163,4328,15,0,5,-8,13,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,11490,801,10609,80,0,91,-8,97,2,,
485,PB,Punjab,PB_Amritsar,Amritsar,11959,277,11222,460,0,0,0,0,0,,
486,PB,Punjab,PB_Barnala,Barnala,2082,127,1903,52,0,0,0,0,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,7288,435,6701,152,0,0,0,0,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,3273,142,3073,58,0,0,0,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,2177,39,2036,102,0,0,0,0,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,3134,214,2869,51,0,0,0,0,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,4236,96,4014,126,0,0,0,0,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,6935,137,6598,200,0,0,0,0,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,6300,219,5866,215,0,0,0,0,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,15386,607,14306,473,0,0,0,0,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,4107,114,3825,168,0,0,0,0,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,20510,446,19221,843,0,0,0,0,0,,
497,PB,Punjab,PB_Mansa,Mansa,1952,87,1829,36,0,0,0,0,0,,
498,PB,Punjab,PB_Moga,Moga,2483,29,2373,81,0,0,0,0,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,4494,120,4259,115,0,0,0,0,0,,
500,PB,Punjab,PB_Patiala,Patiala,12924,287,12255,382,0,0,0,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,2505,155,2231,119,0,0,0,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,12580,603,11739,238,0,0,0,0,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,3969,103,3698,168,0,0,0,0,0,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,1935,64,1806,65,0,0,0,0,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,3071,129,2877,65,0,0,0,0,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,2013,41,1882,90,0,0,0,0,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,3475,190,3230,55,0,9,8,1,0,"2 case of TN has been transferred,so has been reduced from the total count.",
482,PY,Puducherry,PY_Mahe,Mahe,1026,133,886,7,0,9,0,9,0,"1 case of KL have been transferred,so have been reduced from the total count",
483,PY,Puducherry,PY_Puducherry,Puducherry,29033,1402,27138,493,0,94,-310,403,1,"209 cases(204 of TN, 1 of AP and 4 other) have been transferred,so have been reduced from the total count.[July 18]4 cases have transferred to TN and have been reduced from recovered cases.",
484,PY,Puducherry,PY_Yanam,Yanam,2016,104,1869,43,0,9,2,7,0,"2 cases of AP have been transferred,so have been reduced from the total count",
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,10330,432,9754,144,0,0,0,0,0,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,15563,614,14890,59,0,0,0,0,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,1521,83,1412,26,0,0,0,0,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,1519,89,1404,26,0,0,0,0,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,3562,216,3310,36,0,0,0,0,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,6082,238,5749,95,0,0,0,0,0,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,6056,176,5850,30,0,0,0,0,0,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,14579,1077,13360,142,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,85,0,85,0,0,0,0,0,0,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,1497,120,1368,9,0,0,0,0,0,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,2333,168,2134,31,0,0,0,0,0,,
517,RJ,Rajasthan,RJ_Churu,Churu,3041,236,2780,25,0,0,0,0,0,,
518,RJ,Rajasthan,RJ_Dausa,Dausa,1725,222,1489,14,0,0,0,0,0,,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,3328,80,3219,29,0,0,0,0,0,,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,2581,114,2442,25,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,0,61,0,0,0,0,0,0,,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,3990,574,3390,26,0,0,0,0,0,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,1843,146,1689,8,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,0,0,0,0,0,0,,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,34679,4211,30090,378,0,0,0,0,0,,
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,1243,178,1048,17,0,0,0,0,0,,
525,RJ,Rajasthan,RJ_Jalore,Jalore,3965,338,3589,38,0,0,0,0,0,,
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,2689,97,2579,13,0,0,0,0,0,,
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,3110,302,2780,28,0,0,0,0,0,,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,30213,4235,25790,188,0,0,0,0,0,,
529,RJ,Rajasthan,RJ_Karauli,Karauli,1170,87,1069,14,0,0,0,0,0,,
530,RJ,Rajasthan,RJ_Kota,Kota,11333,287,10930,116,0,0,0,0,0,,
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,5850,412,5380,58,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Other State,Other State,189,0,150,39,0,0,0,0,0,,
532,RJ,Rajasthan,RJ_Pali,Pali,7440,204,7160,76,0,0,0,0,0,,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,932,29,889,14,0,0,0,0,0,,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,2458,127,2299,32,0,0,0,0,0,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,1152,90,1039,23,0,0,0,0,0,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,6482,578,5844,60,0,0,0,0,0,,
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,2536,151,2359,26,0,0,0,0,0,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,1848,132,1690,26,0,0,0,0,0,,
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,7003,280,6649,74,0,0,0,0,0,,
540,SK,Sikkim,SK_East Sikkim,East Sikkim,1446,337,1106,3,0,0,0,0,0,,
541,SK,Sikkim,SK_North Sikkim,North Sikkim,1,0,1,0,0,0,0,0,0,,
542,SK,Sikkim,SK_South Sikkim,South Sikkim,475,402,73,0,0,0,0,0,0,,
543,SK,Sikkim,SK_West Sikkim,West Sikkim,87,72,15,0,0,0,0,0,0,,
0,TG,Telangana,TG_Foreign Evacuees,Foreign Evacuees,33,33,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
0,TG,Telangana,TG_Other State,Other State,250,250,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
576,TG,Telangana,TG_Adilabad,Adilabad,2221,2206,15,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,6614,6610,4,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
578,TG,Telangana,TG_Hyderabad,Hyderabad,70100,69772,305,23,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
579,TG,Telangana,TG_Jagtial,Jagtial,4778,4776,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
580,TG,Telangana,TG_Jangaon,Jangaon,2989,2988,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,1876,1876,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,3062,3036,25,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
583,TG,Telangana,TG_Kamareddy,Kamareddy,4954,4946,8,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
584,TG,Telangana,TG_Karimnagar,Karimnagar,11174,11158,16,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
585,TG,Telangana,TG_Khammam,Khammam,8499,8496,3,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,1232,1230,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,4604,4603,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,4162,4154,8,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
589,TG,Telangana,TG_Mancherial,Mancherial,4057,4056,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
590,TG,Telangana,TG_Medak,Medak,2991,2987,4,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,15358,15348,9,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
592,TG,Telangana,TG_Mulugu,Mulugu,2096,2094,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,3497,3495,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
594,TG,Telangana,TG_Nalgonda,Nalgonda,10263,10251,12,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
595,TG,Telangana,TG_Narayanpet,Narayanpet,1011,1010,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
596,TG,Telangana,TG_Nirmal,Nirmal,2108,2095,13,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
597,TG,Telangana,TG_Nizamabad,Nizamabad,7136,7106,30,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
598,TG,Telangana,TG_Peddapalli,Peddapalli,4632,4631,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
